10.1145/1103963.1103968	http://dx.doi.org/10.1145/1103963.1103968	Computing almost shortest paths	Michael Elkin	algorithms;almost shortest paths;combinatorics;general;graph algorithms;graph theory;spanners;theory
10.1145/1150334.1150336	http://dx.doi.org/10.1145/1150334.1150336	Algorithmic construction of sets for <i>k</i>-restrictions	Noga Alon;Dana Moshkovitz;Shmuel Safra	k-restriction;algorithms;almost k-wise independence;combinatorial algorithms;derandomization;generalized hashing;group testing;set-cover;splitter;theory
10.1145/1186810.1186814	http://dx.doi.org/10.1145/1186810.1186814	Tight bounds for worst-case equilibria	Artur Czumaj;Berthold V&#246;cking	algorithms;coordination ration;economics;economics;nash equilibria;noncooperative networks;selfish strategies;theory;traffic routing
10.1145/1217299.1217301	http://dx.doi.org/10.1145/1217299.1217301	Graph evolution: Densification and shrinking diameters	Jure Leskovec;Jon Kleinberg;Christos Faloutsos	data mining;densification power laws;graph generators;graph mining;heavy-tailed distributions;measurement;small-world phenomena;theory
10.1145/1217299.1217302	http://dx.doi.org/10.1145/1217299.1217302	<i>L</i>-diversity: Privacy beyond <i>k</i>-anonymity	Ashwin Machanavajjhala;Daniel Kifer;Johannes Gehrke;Muthuramakrishnan Venkitasubramaniam	&ell;-diversity;k-anonymity;data privacy;miscellaneous;privacy-preserving data publishing;security
10.1145/1217299.1217303	http://dx.doi.org/10.1145/1217299.1217303	Clustering aggregation	Aristides Gionis;Heikki Mannila;Panayiotis Tsaparas	algorithms;clustering aggregation;clustering categorical data;correlation clustering;data clustering;data mining;nonnumerical algorithms and problems
10.1145/1217299.1217304	http://dx.doi.org/10.1145/1217299.1217304	Collective entity resolution in relational data	Indrajit Bhattacharya;Lise Getoor	algorithms;clustering;data cleaning;data mining;entity resolution;graph clustering;record linkage
10.1145/1240233.1240234	http://dx.doi.org/10.1145/1240233.1240234	Multiplierless multiple constant multiplication	Yevgen Voronenko;Markus P&#252;schel	addition chains;algebraic algorithms;algorithms;algorithms;cost/performance;design;directed graph;fir filter;fixed-point arithmetic;number-theoretic computations;performance;strength reduction;theory
10.1145/1240233.1240243	http://dx.doi.org/10.1145/1240233.1240243	Compressed representations of sequences and full-text indexes	Paolo Ferragina;Giovanni Manzini;Veli M&#228;kinen;Gonzalo Navarro	algorithms;arrays;burrows-wheeler transform;compression boosting;data compaction and compression;entropy;index generation;indexing methods;pattern matching;rank and select;search process;sorting and searching;text compression;text indexing;theory;trees;wavelet tree
10.1145/1240233.1240244	http://dx.doi.org/10.1145/1240233.1240244	Compressed indexes for dynamic text collections	Ho-Leung Chan;Wing-Kai Hon;Tak-Wah Lam;Kunihiko Sadakane	algorithms;compressed suffix tree;data compaction and compression;design;dictionaries;indexing methods;pattern matching;string matching;theory
10.1145/1273340.1273341	http://dx.doi.org/10.1145/1273340.1273341	Faster algorithms for sorting by transpositions and sorting by block interchanges	Jianxing Feng;Daming Zhu	algorithms;biology and genetics;block interchange;genome;permutation;sorting and searching;theory;time complexity;transposition;tree;trees
10.1145/1273340.1273348	http://dx.doi.org/10.1145/1273340.1273348	Convergence time to Nash equilibrium in load balancing	Eyal Even-Dar;Alex Kesselman;Yishay Mansour	algorithms;convergence time;game theory;nash equilibrium;nonnumerical algorithms and problems;theory
10.1145/1290672.1290680	http://dx.doi.org/10.1145/1290672.1290680	Succinct indexable dictionaries with applications to encoding <i>k</i>-ary trees, prefix sums and multisets	Rajeev Raman;Venkatesh Raman;Srinivasa Rao Satti	algorithms;computations on discrete structures;data compaction and compression;design;dictionaries;multisets;perfect hashing;prefix sums;sets;succinct data structures;theory;tries
10.1145/1290672.1290686	http://dx.doi.org/10.1145/1290672.1290686	Energy-efficient algorithms for flow time minimization	Susanne Albers;Hiroshi Fujiwara	algorithms;combinatorial algorithms;competitive analysis;dynamic programming;flow time;offline algorithms;online algorithms;sequencing and scheduling;theory;variable-speed processor
10.1145/1297332.1297338	http://dx.doi.org/10.1145/1297332.1297338	Assessing data mining results via swap randomization	Aristides Gionis;Heikki Mannila;Taneli Mielik&#228;inen;Panayiotis Tsaparas	0--1 data;algorithms;data mining;experimentation;management;randomization tests;significance testing;swaps
10.1145/1367064.1367072	http://dx.doi.org/10.1145/1367064.1367072	Dynamic entropy-compressed sequences and full-text indexes	Veli M&#228;kinen;Gonzalo Navarro	access methods;algorithms;compressed dynamic data structures;compressed text databases;computations on discrete structures;data compaction and compression;entropy;file organization;partial sums;pattern matching;search process;sequences;sorting and searching
10.1145/1376815.1376819	http://dx.doi.org/10.1145/1376815.1376819	Semantic text similarity using corpus-based word similarity and string similarity	Aminul Islam;Diana Inkpen	algorithms;corpus-based measures;experimentation;natural language interfaces;performance;semantic similarity of words;similarity of short texts;text analysis
10.1145/1409620.1409621	http://dx.doi.org/10.1145/1409620.1409621	Incremental tensor analysis: Theory and applications	Jimeng Sun;Dacheng Tao;Spiros Papadimitriou;Philip S. Yu;Christos Faloutsos	algorithms;algorithms;data mining;multilinear algebra;performance;stream mining;tensor;theory
